title,url,category,description,datetime,title_len
13 аеропортів на півдні РФ зупинено через атаку дрона,https://www.rbc.ua/rus/news/13-aeroportiv-pivdni-rf-zupineno-cherez-ataku-1778232270.html,,,12:29,53
Іноземним ЗМІ заборонили висвітлювати парад у Москві,https://www.rbc.ua/rus/news/inozemnim-zmi-zaboronili-visvitlyuvati-parad-1778232027.html,,,12:22,52
"РФ терміново розгортає ще 4 полки та 162 батареї для протидії українським дронам, - Сирський",https://www.rbc.ua/rus/news/rf-terminovo-rozgortae-shche-4-polki-ta-162-1778230067.html,,,12:00,92
"Глобальне ставлення до США стало гіршим, ніж до Росії, - опитування",https://www.rbc.ua/rus/news/globalne-stavlennya-ssha-stalo-girshim-nizh-1778229395.html,,,11:51,67
Поліція хоче контролювати обіг дронів: голова Нацполу назвав причину,https://www.rbc.ua/rus/news/droni-pochali-vikoristovuvati-vchinennya-1778229687.html,,,11:47,68
"""Азов"" заявив, що ""повертається"" до Маріуполя: що це означає (відео)",https://www.rbc.ua/rus/news/azov-zayaviv-shcho-povertaetsya-mariupolya-1778229095.html,,,11:32,68
"Україну на вихідних ""накриють"" дощі та грози, але не без винятків (карта)",https://www.rbc.ua/rus/news/ukrayinu-vihidnih-nakriyut-doshchi-ta-grozi-1778227105.html,,,11:06,73
"Десятки пасажирів круїзного лайнера роз'їхалися по світу ще до виявлення хантавірусу, - AP",https://www.rbc.ua/rus/news/desyatki-pasazhiriv-kruyiznogo-laynera-roz-1778226427.html,,,11:00,90
Трамп уперше прокоментував ситуацію з хантавірусом,https://www.rbc.ua/rus/news/tramp-upershe-prokomentuvav-situatsiyu-hantavirusom-1778225380.html,,,10:47,50
Ціни на АЗС пішли вниз: скільки коштує літр бензину та дизелю 8 травня,https://www.rbc.ua/rus/news/tsini-azs-pishli-vniz-skilki-koshtue-litr-1778225775.html,,,10:36,70
Трамп доручив передати Папі Римському важливе послання (відео),https://www.rbc.ua/rus/news/tramp-doruchiv-peredati-papi-rimskomu-vazhlive-1778225012.html,,,10:24,62
"Оновлена версія нацизму має маркування: ""сделано в России"", - Зеленський",https://www.rbc.ua/rus/news/zelenskiy-onovlena-versiya-natsizmu-mae-markuvannya-1778222948.html,,,09:58,72
В ЄС хочуть поновити розмови про передачу Україні заморожених активів: хто проти,https://www.rbc.ua/rus/news/es-hochut-ponoviti-rozmovi-peredachu-ukrayini-1778222610.html,,,09:49,80
"""Вітання Кадирову"": українські дрони атакували Грозний (відео)",https://www.rbc.ua/rus/news/vitannya-kadirovu-ukrayinski-droni-atakuvali-1778221443.html,,,09:30,62
"У зоні відчуження вирує масштабна пожежа у лісі, вогонь швидко поширюється (відео)",https://www.rbc.ua/rus/news/zoni-vidchuzhennya-virue-masshtabna-pozhezha-1778219796.html,,,09:00,82
Один з найбільших НПЗ Росії знову під ударом: що відомо про третю атаку на Перм (відео),https://www.rbc.ua/rus/news/odin-naybilshih-npz-rosiyi-znovu-pid-udarom-1778219735.html,,,08:55,87
"Чому 9 травня, а не 8? Звідки взявся ""день перемоги"" й чому СРСР так тримався за цю дату",https://www.rbc.ua/rus/news/chomu-9-travnya-8-zvidki-vzyavsya-den-peremogi-1778169158.html,,,08:46,88
"Різкий рух валют: обмінники та банки дали нові ""цінники"" на долар та євро 8 травня",https://www.rbc.ua/rus/news/rizkiy-ruh-valyut-obminniki-ta-banki-dali-1778218931.html,,,08:42,82
"Росія вночі атакувала Україну десятками дронів, було понад 10 прильотів, - ПС",https://www.rbc.ua/rus/news/rosiya-vnochi-atakuvala-ukrayinu-desyatkami-1778218013.html,,,08:33,77
"Путін збрехав про власне ""перемир'я"", навіть не імітувавши його, -  Зеленський",https://www.rbc.ua/rus/news/zelenskiy-nazvav-kilkist-atak-kimi-rf-zirvala-1778217723.html,,,08:25,78
У Молдові обмежили російську мову в парламенті: прихильники Путіна незадоволені,https://www.rbc.ua/rus/news/moldovi-obmezhili-rosiysku-movu-parlamenti-1778215288.html,,,08:16,79
Спека VS авто: як високі температури ламають вашу машину,https://auto.rbc.ua/rus/news/speka-pislya-holodiv-ryatuemo-vid-rizikiv-1778085857.html,,,08:08,56
"У МАГАТЕ пояснили, де збагачений уран Ірану і чому туди важко потрапити",https://www.rbc.ua/rus/news/magate-poyasnili-de-zbagacheniy-uran-iranu-1778213225.html,,,07:44,71
У Гаазі невідомий кинув бомбу в офіс партії D66 через поштову скриньку,https://www.rbc.ua/rus/news/gaazi-nevidomiy-kinuv-bombu-ofis-partiyi-1778211779.html,,,07:24,70
Спека спаде: наскільки сьогодні знизиться температура повітря та де пройде грозовий дощ,https://www.rbc.ua/rus/news/speka-spade-naskilki-sogodni-znizitsya-temperatura-1778159049.html,,,07:00,87
"В Україні створили лазер ""Тризуб"", який буде збивати ""Шахеди"" окупантів РФ",https://www.rbc.ua/rus/news/ukrayini-stvorili-lazer-trizub-kiy-bude-zbivati-1778211226.html,,,06:43,74
Росія скидає з дронів листівки-гривні з небезпечними QR-кодами в прикордонні,https://www.rbc.ua/rus/news/rosiya-skidae-droniv-listivki-grivni-nebezpechnimi-1778208774.html,,,06:17,76
Канада може розпастись: сепаратисти Альберти ініціюють референдум,https://www.rbc.ua/rus/news/kanada-mozhe-rozpastis-separatisti-alberti-1778208654.html,,,05:50,65
"Дрони вдарили по Москві, НПЗ у Ярославлі та заводу в Ростові напередодні параду",https://www.rbc.ua/rus/news/droni-vdarili-moskvi-npz-roslavli-ta-zavodu-1778205201.html,,,05:17,79
"Іраном керують ""сновиди"": Трамп відреагував на взаємні атаки флотів в Ормузі",https://www.rbc.ua/rus/news/iranom-keruyut-lunatiki-tramp-vidreaguvav-1778204894.html,,,04:48,76
"Суд визнав тарифи Трампа незаконними, але заблокував лише для трьох позивачів",https://www.rbc.ua/rus/news/sud-viznav-tarifi-trampa-nezakonnimi-ale-1778200226.html,,,04:13,77
РФ таємно відновлює військову базу у сирійському Тартусі,https://www.rbc.ua/rus/news/rf-taemno-vidnovlyue-viyskovu-bazu-siriyskomu-1778200803.html,,,03:40,56
Латвія вручила РФ ноту протесту через російські дрони у своєму небі,https://www.rbc.ua/rus/news/latviya-vruchila-rf-notu-protestu-cherez-1778197385.html,,,03:09,67
Пускові Patriot та NASAMS напівпорожні через дефіцит ракет - Ігнат,https://www.rbc.ua/rus/news/puskovi-patriot-ta-nasams-napivporozhni-cherez-1778196699.html,,,02:31,66
"США хочуть підкупити кубинців безплатним інтернетом, - AP",https://www.rbc.ua/rus/news/ssha-hochut-pidkupiti-kubintsiv-bezpaltnim-1778194920.html,,,02:06,57
Трамп висунув ЄС ультиматум та погрожує митами на авто,https://www.rbc.ua/rus/news/tramp-visunuv-es-ultimatum-ta-pogrozhue-mitami-1778191183.html,,,00:59,54
"США вдарили по іранських портах, але заперечили поновлення війни, - FoxNews",https://www.rbc.ua/rus/news/ssha-vdarili-iranskih-portah-ale-zaperechili-1778189154.html,,,00:37,75
